Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-03T23:52:33+01:00;2021-03-03T23:52:48+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-04T00:06:34+01:00;2021-03-04T00:06:57+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T22:58:48+01:00;2021-03-03T22:59:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-04T00:06:35+01:00;2021-03-04T00:06:50+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-04T00:35:00+01:00;2021-03-04T00:35:23+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:21:18+01:00;2021-03-03T23:21:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-04T00:21:15+01:00;2021-03-04T00:21:30+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T22:48:35+01:00;2021-03-03T22:48:54+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:25:48+01:00;2021-03-03T23:26:11+01:00;Applicable
1001;a;1;J.F. Kennedy;5025;Clemenceau;48.093653,-1.674394;2021-03-04T00:34:45+01:00;2021-03-04T00:35:00+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T23:02:05+01:00;2021-03-03T23:02:24+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:30:18+01:00;2021-03-03T23:30:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5026;Henri Fréville;48.087673,-1.674777;2021-03-03T22:52:49+01:00;2021-03-03T22:53:02+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T23:11:05+01:00;2021-03-03T23:11:24+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:39:18+01:00;2021-03-03T23:39:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5026;Henri Fréville;48.087673,-1.674777;2021-03-03T23:24:19+01:00;2021-03-03T23:24:32+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T23:24:35+01:00;2021-03-03T23:24:54+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-03T23:57:18+01:00;2021-03-03T23:57:41+01:00;Applicable
1001;a;1;J.F. Kennedy;5026;Henri Fréville;48.087673,-1.674777;2021-03-03T23:28:49+01:00;2021-03-03T23:29:02+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T23:42:35+01:00;2021-03-03T23:42:54+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-04T00:16:06+01:00;2021-03-04T00:16:29+01:00;Applicable
1001;a;1;J.F. Kennedy;5026;Henri Fréville;48.087673,-1.674777;2021-03-03T23:33:19+01:00;2021-03-03T23:33:32+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-04T00:05:21+01:00;2021-03-04T00:05:40+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-04T00:20:52+01:00;2021-03-04T00:21:15+01:00;Applicable
1001;a;1;J.F. Kennedy;5026;Henri Fréville;48.087673,-1.674777;2021-03-03T23:51:19+01:00;2021-03-03T23:51:32+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-04T00:10:07+01:00;2021-03-04T00:10:26+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-04T00:26:00+01:00;2021-03-04T00:26:23+01:00;Applicable
1001;a;1;J.F. Kennedy;5026;Henri Fréville;48.087673,-1.674777;2021-03-04T00:20:01+01:00;2021-03-04T00:20:14+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-04T00:14:53+01:00;2021-03-04T00:15:12+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-04T00:30:30+01:00;2021-03-04T00:30:53+01:00;Applicable
1001;a;1;J.F. Kennedy;5027;Italie;48.086598,-1.667741;2021-03-03T22:38:07+01:00;2021-03-03T22:38:18+01:00;Temps réel
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-04T00:33:47+01:00;2021-03-04T00:34:06+01:00;Applicable
1001;a;1;J.F. Kennedy;5021;République;48.109712,-1.679138;2021-03-04T00:39:30+01:00;2021-03-04T00:39:53+01:00;Applicable
1001;a;1;J.F. Kennedy;5027;Italie;48.086598,-1.667741;2021-03-03T22:47:07+01:00;2021-03-03T22:47:18+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-04T00:38:17+01:00;2021-03-04T00:38:36+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T22:30:34+01:00;2021-03-03T22:30:53+01:00;Temps réel
1001;a;1;J.F. Kennedy;5027;Italie;48.086598,-1.667741;2021-03-03T22:51:37+01:00;2021-03-03T22:51:48+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T23:01:01+01:00;2021-03-03T23:01:20+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T22:39:35+01:00;2021-03-03T22:39:54+01:00;Applicable
1001;a;1;J.F. Kennedy;5027;Italie;48.086598,-1.667741;2021-03-03T23:00:37+01:00;2021-03-03T23:00:48+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T23:05:31+01:00;2021-03-03T23:05:50+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T22:53:05+01:00;2021-03-03T22:53:24+01:00;Applicable
1001;a;1;J.F. Kennedy;5027;Italie;48.086598,-1.667741;2021-03-03T23:05:07+01:00;2021-03-03T23:05:18+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T23:23:31+01:00;2021-03-03T23:23:50+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T23:20:05+01:00;2021-03-03T23:20:24+01:00;Applicable
